Job_ID,Company,Job_Title,Min_YOE,Location,Est_Salary,Referral BONUS,JD_Trans,Link,JD Title ( Vie ),L1,L2,L3,L4,MinL,Location,Column1,Column2,VN,Remote,Short_URL,Source,Term_1,Term_2,Term_3,Term_4,Term 5,Data_Engineer,Data_Analyst,Data_Scientist,Business_Analyst,Business_Intelligence,Combined_role,Others
5603,Earable Neuroscience,Senior Machine Learning,3,HN,"3,390",NA,"Lang Ha Earable recruits Senior ML from 3 ++ years of experience, prioritizing experience in NLP, recommending System. Salary 40-80m.",https://www.facebook.com/groups/datanalyticsvn/posts/3235312576762036/,NA,Senior,,,,,HN,,,TRUE,FALSE,facebook.com,FACEBOOK,Fulltime,,,,,Data Engineer,,Data Scientist,,,TRUE,FALSE
5602,Undisclosed,Data Engineer,1,HN,"1,270",NA,HN-LLLL; Product Company recruits #data #engineer from 1 year of experience. Offer max 30m.,https://www.facebook.com/groups/datanalyticsvn/posts/3235346980091929/,NA,Junior,Senior,,,,HN,,,TRUE,FALSE,facebook.com,FACEBOOK,Fulltime,,,,,Data Engineer,,,,,FALSE,FALSE
5601,Undisclosed,AI Research Engineer,3,HN,"2,755",NA,Cau Giay - HN - AI Research Engineer - 3-7year of experience- ~ 65m Gross,https://www.facebook.com/groups/datanalyticsvn/posts/3235575553402405/,NA,Senior,,,,,HN,,,TRUE,FALSE,facebook.com,FACEBOOK,Part-time,Freelance,,,,Data Engineer,,Data Scientist,,,TRUE,FALSE
5600,PREP,Data Analyst,3,HN,"1,270",NA,Over 3 years of experience in data analysis.,https://www.topcv.vn/brand/congngheprep/tuyen-dung/data-analyst-j1055217.html,NA,Senior,,,,,HN,,,TRUE,FALSE,topcv.vn,TOPCV,Fulltime,,,,,,Data Analyst,,,,FALSE,FALSE
5599,Mobiwork DMS,Data Engineer,2,HN,"1,800",NA,From 2 years of experience that has been working in the Data Engineer position or related experience,https://www.topcv.vn/viec-lam/chuyen-vien-data-engineer-tu-02-nam-kinh-nghiem/1073595.html,NA,Junior,,,,,HN,,,TRUE,FALSE,topcv.vn,TOPCV,Fulltime,Part-time,,,,Data Engineer,,,,,FALSE,FALSE
5597,ETC,Data Engineer,1,HN,"1,270",NA,"Strong experience with Python and SQL for data manipulation, transformation, and analysis.",https://www.topcv.vn/viec-lam/data-engineer/1089463.html,NA,Junior,Senior,,,,HN,,,TRUE,FALSE,topcv.vn,TOPCV,Fulltime,,,,,Data Engineer,,,,,FALSE,FALSE
5596,TTC Solutions,Data Engineer,2,HN,"1,060",NA,"Minimum 2 years of experience at banks or IT organizations, corporations",https://www.topcv.vn/viec-lam/data-engineer-du-an-banking/1089629.html,Data Engineer (D? Án Banking),Junior,Senior,,,,HN,,,TRUE,FALSE,topcv.vn,TOPCV,Fulltime,,,,,Data Engineer,,,,,FALSE,FALSE
5595,LARION,Data Infrastructure Engineer - Python / Java,NA,HCM,"3,000",NA,"Strong programming skills either Python or Java, with a demonstrated ability to write high-quality and testable code.",https://www.linkedin.com/jobs/view/3684047293,NA,Junior,Senior,,,,HCM,,,TRUE,FALSE,linkedin.com,LINKEDIN,Fulltime,Hybrid,,,,Data Engineer,,,,,FALSE,FALSE
5594,PTF,Senior Business Intelligence,2,HN,"2,200",NA,"At least 2 years of experience in making MIS, data analysis and financial indicators, business reports of financial and banking companies; Know how to use SQL Server, Oracle Database, ETL, Power Bi",https://www.linkedin.com/jobs/view/1652659106,Chuyên viên cao c?p BI,Senior,,,,,HN,,,TRUE,FALSE,linkedin.com,LINKEDIN,Fulltime,,,,,,,,,Business Intelligence,FALSE,FALSE
5592,LifesUp Software,Data Engineer,2,HN,"1,185",NA,Experienced working in Data Engineer segment for 2 years or more.,https://www.linkedin.com/jobs/view/3686755510/,NA,Junior,Senior,,,,HN,,,TRUE,FALSE,linkedin.com,LINKEDIN,Fulltime,,,,,Data Engineer,,,,,FALSE,FALSE
5591,Techcombank,Junior Data Engineer,3,HN,"2,500",NA,Have 3+ years of experience as a Data Engineer or Software Engineer,https://www.linkedin.com/jobs/view/3686756459/,NA,Junior,,,,,HN,,,TRUE,FALSE,linkedin.com,LINKEDIN,Fulltime,,,,,Data Engineer,,,,,FALSE,FALSE
5589,VPBank,Data Governance Expert,8,HN,"3,500",NA,"At least 8-10 years of experience working in the field of data management, especially bank data or positions related to organization, exploitation and collection of data",https://tuyendung.vpbank.com.vn/viec-lam/chuyen-gia-quan-tri-du-lieu-ha-noi-ta119.35a9f2fd.html,Chuyên Gia Qu?n tr? D? li?u,Senior,,,,,HN,,,TRUE,FALSE,tuyendung.vpbank.com.vn,TUYENDUNG,Fulltime,Part-time,,,,Data Engineer,,,,,FALSE,FALSE
5588,Hitachi,Computer Vision / AI Lead,8,HCM,"3,500",NA,Have over 8-9 years of experience with a computer vision or lead developer on computer vision projects,https://www.hitachivantara.com/en-us/company/careers/job-details.6789541002.html,NA,Senior,Lead,,,,HCM,,,TRUE,FALSE,hitachivantara.com,HITACHIVANTARA,Fulltime,,,,,,,,,,FALSE,TRUE
5587,VPBank,Senior Data Governance,3,HN,"2,200",NA,"Have knowledge about database, organization query experience, data analysis; Proficient in office informatics, capable of using SQL, R/Python; Mlflow/airflow & cloud",https://tuyendung.vpbank.com.vn/viec-lam/senior-data-governance-hn-ta083.35a9d6b1.html,NA,Senior,,,,,HN,,,TRUE,FALSE,tuyendung.vpbank.com.vn,TUYENDUNG,Fulltime,,,,,Data Engineer,,,,,FALSE,FALSE
5586,HCLTech Vietnam,Data Architect ( Any Cloud ),8,HCM,"4,235",NA,At least 8 years of experience in total including at least 5 years of experience with Data Engineering,https://www.linkedin.com/jobs/view/3688309879,NA,Senior,,,,,HCM,,,TRUE,FALSE,linkedin.com,LINKEDIN,Fulltime,,,,,Data Engineer,,,,,FALSE,FALSE
5585,Cloud Ace,Head of Operations,NA,HCM,"2,540",NA,Experience as a head of operations or in a similar role; Solid kinh nghi?m of data analytics; Strong mathematical literacy.,https://www.linkedin.com/jobs/view/3688325727,NA,Manager,,,,,HCM,,,TRUE,FALSE,linkedin.com,LINKEDIN,Fulltime,,,,,,,,,,FALSE,TRUE
5584,VPBank,Data Partner,4,HN,"3,500",NA,Min 4 years of solid experience in data and AI related fields; Min 2 years of experience in a stakeholder management position; Experience in working with SQL and Excel,https://www.linkedin.com/jobs/view/3684095643/,NA,Senior,Lead,,,,HN,,,TRUE,FALSE,linkedin.com,LINKEDIN,Fulltime,,,,,Data Engineer,,,,,FALSE,FALSE
5583,UOB Viet Nam,In-Business AML Control,2,HCM,"1,700",NA,2-4 years of relevant experience; Experience in data analysis and problem solving with acute attention to detail.,https://careers.uobgroup.com/job/Ho-Chi-Minh-City-In-Business-AML-Control/941913210/,NA,Junior,Senior,,,,HCM,,,TRUE,FALSE,careers.uobgroup.com,UOBGROUP,Fulltime,,,,,,,,,,FALSE,TRUE
5582,Momo,Senior Data Engineer,NA,HCM,"2,500",NA,"Data Warehouse: BigQuery, Oracle;Data Source: App Events, Oracle, MySQL, MSSQL, Kafka, Pubsub, REST API; Data Pipeline Orchestration: Airflow; BI: Datastudio;",https://www.linkedin.com/jobs/view/3687013791,NA,Junior,Senior,,,,HCM,,,TRUE,FALSE,linkedin.com,LINKEDIN,Fulltime,,,,,Data Engineer,,,,,FALSE,FALSE
5581,SHB,Anti-Fraud Officer,1,HCM,"1,800",NA,"Over 1 year on data analysis; There is a background of knowledge about finance, statistics, data mining, machine learning;",https://careerbuilder.vn/vi/tim-viec-lam/hcm-chuyen-vien-phan-tich-phong-chong-gian-lan.35BD8984.html,Chuyên Viên phân tích phòng ch?ng gian l?n,Junior,Senior,,,,HCM,,,TRUE,FALSE,careerbuilder.vn,CAREERBUILDER,Fulltime,,,,,,,,,,FALSE,TRUE
5580,Maison Retail,Merchandise Planning Specialist - Lush,2,HCM,"1,270",NA,Preferably 2 years experience in merchandising/ inventory/ planning or related fields.; Posses data analysis skill; Proficient in Excel.,https://careerbuilder.vn/vi/tim-viec-lam/hcm-merchandise-planning-specialist-lush.35BD89D8.html,NA,Junior,Senior,,,,HCM,,,TRUE,FALSE,careerbuilder.vn,CAREERBUILDER,Fulltime,,,,,,,,,,FALSE,TRUE
5579,TPBank,Advanced Analytics Executive,1,HN,"1,800",NA,Experience at least 01 year in the field of data analysis,https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-chuyen-vien-chinh-phan-tich-du-lieu-advanced-analytics.35BD8A06.html,Chuyên viên/Chuyên viên chính phân tích d? li?u ( advanced analytics ),Junior,Senior,,,,HN,,,TRUE,FALSE,careerbuilder.vn,CAREERBUILDER,Fulltime,,,,,,Data Analyst,,,,FALSE,FALSE
5578,Onpoint,Data Analyst,1,HCM,"1,600",NA,At least 1-2 year of working experience in data analyst position.,https://www.vietnamworks.com/data-analyst-226-1-1679355-jv,NA,Junior,Senior,,,,HCM,,,TRUE,FALSE,vietnamworks.com,VIETNAMWORKS,Fulltime,,,,,,Data Analyst,,,,FALSE,FALSE
5577,SSI,Data Governance Analyst,2,HN,"2,200",NA,"A minimum of 2 years relevant work experience in consulting/ designing/ oeprating/ implementing policiles, processes related to data governance/ data management as data governance analyst or data analyst.",https://www.vietnamworks.com/data-governance-analyst-5-1679365-jv,NA,Junior,Senior,,,,HN,,,TRUE,FALSE,vietnamworks.com,VIETNAMWORKS,Fulltime,,,,,,Data Analyst,,,,FALSE,FALSE
5575,Unilever,Manufacturing Excellence Coordinator,1,Bac Ninh,"1,200",NA,Graduated from university majoring in data automation/ data science; There are 1-2 years of experience in the equivalent position,https://www.vietnamworks.com/manufacturing-excellence-coordinator-bac-ninh-factory-1679486-jv,NA,Junior,,,,,Bac Ninh,,,TRUE,FALSE,vietnamworks.com,VIETNAMWORKS,Fulltime,Hybrid,,,,,,,,,FALSE,TRUE
5574,PREP,Data Analyst,3,HN,"1,270",NA,Cau Giay recruits 1 Data Analyst from 3 years of experience. Salary 20-30 million+ bonus.,https://www.facebook.com/groups/datanalyticsvn/posts/3235041036789190/,NA,Senior,,,,,HN,,,TRUE,FALSE,facebook.com,FACEBOOK,Fulltime,,,,,,Data Analyst,,,,FALSE,FALSE
5573,MTI Technology,Data Scientist - Middle / Senior,3,HCM,"2,500",NA,Have at least 3-5 years of experience in Data Science.,https://mti-vietnam.vn/mticareers?fbclid=IwAR18pbCAOKohw7mgK9uzjtH4TU0I8KrPMdi3b8VWtgKcbZSi04kPhEOTnFI#HCM-Data-Scientist-MiddleSenior,NA,Junior,Senior,,,,HCM,,,TRUE,FALSE,mti-vietnam.vn,MTI-VIETNAM,Fulltime,,,,,,,Data Scientist,,,FALSE,FALSE
5572,LifesUp Software,Data Engineer,2,HN,"1,185",NA,2 Talented Data Engineer from 2 years of experience working at Lo Duc - HBT - Hanoi; Range salary: 17 - 28m,https://www.facebook.com/groups/datanalyticsvn/posts/3235144083445552/,NA,Junior,Senior,,,,HN,,,TRUE,FALSE,facebook.com,FACEBOOK,Fulltime,,,,,Data Engineer,,,,,FALSE,FALSE
5571,NodeFlair's Client,Business Intelligence Leader,2,HN,"1,485",NA,"From 2 years of Lead experience; Tools: Excel, SQL, Power Bi",https://www.facebook.com/groups/datanalyticsvn/posts/3235148606778433/,NA,Senior,Lead,,,,HN,,,TRUE,FALSE,facebook.com,FACEBOOK,Fulltime,,,,,,,,,Business Intelligence,FALSE,FALSE
5570,Undisclosed,Data Engineer,2,HN,"1,270",NA,"HN needs 2 #data analysta #engineer from 2 years of experience, with an offer of 18-30m.",https://www.facebook.com/groups/datanalyticsvn/posts/3235175840109043/,NA,Junior,Senior,,,,HN,,,TRUE,FALSE,facebook.com,FACEBOOK,Fulltime,,,,,Data Engineer,,,,,FALSE,FALSE
5569,Undisclosed,Data Engineer,2,HN,"1,060",NA,HN recruited Data Engineer for 2 years of experience. Offer UPTO 25M. PV 1 round,,NA,Junior,Senior,,,,HN,,,TRUE,FALSE,#VALUE!,NA,Fulltime,Hybrid,,,,Data Engineer,,,,,FALSE,FALSE
5567,CJ OliveNetworks Vina,SAP BI / BW / SAC Consultant,5,HCM,"3,000",NA,Strong understanding of BI/BW/SAC ECC 6.0 & S4 HANA; Proficient in Power-BI and another BI tool,https://www.linkedin.com/jobs/view/sap-bi-bw-sac-consultant-at-cj-olivenetworks-vina-3683633102,NA,Senior,,,,,HCM,,,TRUE,FALSE,linkedin.com,LINKEDIN,Fulltime,,,,,,,,,,FALSE,TRUE
