Job_ID,Job_Title,Min_YOE,Est_Salary,JD_Trans,L1,L2,L3,L4,MinL,Location,VN,Remote,W_Term,W_Term_2,W_Term_3,W_Term_4,Data_Engineer,Data_Analyst,Data_Scientist,Business_Analyst,Business_Intelligence,Combined_role,Others
5603,Senior Machine Learning,3,3390,"Lang Ha Earable recruits Senior ML from 3 ++ years of experience, prioritizing experience in NLP, recommending System. Salary 40-80m.",2,,,,2,HN,1,0,Fulltime,,,,1,0,1,0,0,1,0
5602,Data Engineer,1,1270,HN-LLLL; Product Company recruits #data #engineer from 1 year of experience. Offer max 30m.,1,2,,,1,HN,1,0,Fulltime,,,,1,0,0,0,0,0,0
5601,AI Research Engineer,3,2755,Cau Giay - HN - AI Research Engineer - 3-7year of experience- ~ 65m Gross,2,,,,2,HN,1,0,Fulltime,,,,1,0,1,0,0,1,0
5600,Data Analyst,3,1270,Over 3 years of experience in data analysis.,2,,,,2,HN,1,0,Fulltime,,,,0,1,0,0,0,0,0
5599,Data Engineer,2,1800,From 2 years of experience that has been working in the Data Engineer position or related experience,1,,,,1,HN,1,0,Fulltime,,,,1,0,0,0,0,0,0
5597,Data Engineer,1,1270,"Strong experience with Python and SQL for data manipulation, transformation, and analysis.",1,2,,,1,HN,1,0,Fulltime,,,,1,0,0,0,0,0,0
5596,Data Engineer,2,1060,"Minimum 2 years of experience at banks or IT organizations, corporations",1,2,,,1,HN,1,0,Fulltime,,,,1,0,0,0,0,0,0
5595,Data Infrastructure Engineer - Python / Java,NA,3000,"Strong programming skills either Python or Java, with a demonstrated ability to write high-quality and testable code.",1,2,,,1,HCM,1,0,Fulltime,,,,1,0,0,0,0,0,0
5594,Senior Business Intelligence,2,2200,"At least 2 years of experience in making MIS, data analysis and financial indicators, business reports of financial and banking companies; Know how to use SQL Server, Oracle Database, ETL, Power Bi",2,,,,2,HN,1,0,Fulltime,,,,0,0,0,0,1,0,0
5592,Data Engineer,2,1185,Experienced working in Data Engineer segment for 2 years or more.,1,2,,,1,HN,1,0,Fulltime,,,,1,0,0,0,0,0,0
5591,Junior Data Engineer,3,2500,Have 3+ years of experience as a Data Engineer or Software Engineer,1,,,,1,HN,1,0,Fulltime,,,,1,0,0,0,0,0,0
5589,Data Governance Expert,8,3500,"At least 8-10 years of experience working in the field of data management, especially bank data or positions related to organization, exploitation and collection of data",2,,,,2,HN,1,0,Fulltime,,,,1,0,0,0,0,0,0
5588,Computer Vision / AI Lead,8,3500,Have over 8-9 years of experience with a computer vision or lead developer on computer vision projects,2,3,,,2,HCM,1,0,Fulltime,,,,0,0,0,0,0,0,1
5587,Senior Data Governance,3,2200,"Have knowledge about database, organization query experience, data analysis; Proficient in office informatics, capable of using SQL, R/Python; Mlflow/airflow & cloud",2,,,,2,HN,1,0,Fulltime,,,,1,0,0,0,0,0,0
5586,Data Architect ( Any Cloud ),8,4235,At least 8 years of experience in total including at least 5 years of experience with Data Engineering,2,,,,2,HCM,1,0,Fulltime,,,,1,0,0,0,0,0,0
